date,open,high,low,close,volume
2023-07-03,0.165,0.19,0.16,0.1701,124801.0
2023-07-05,0.2,0.207,0.16,0.18,125925.0
2023-07-06,0.185,0.185,0.1169,0.15,211568.0
2023-07-07,0.1501,0.1894,0.15,0.15,133454.0
2023-07-10,0.15,0.18,0.1232,0.165,370931.0
2023-07-11,0.17,0.18,0.1501,0.1501,168305.0
2023-07-12,0.1501,0.18,0.1501,0.16,71054.0
2023-07-13,0.17,0.18,0.1509,0.17,237786.0
2023-07-14,0.17,0.18,0.1699,0.1799,65759.0
2023-07-17,0.179,0.2,0.1698,0.18,86374.0
2023-07-18,0.1987,0.1987,0.1525,0.16,27184.0
2023-07-19,0.1528,0.1716,0.1513,0.17,73011.0
2023-07-20,0.17,0.1747,0.16,0.16,41289.0
2023-07-21,0.175,0.27,0.175,0.2,661526.0
2023-07-24,0.204,0.2475,0.204,0.23,831324.0
2023-07-25,0.23,0.2424,0.2109,0.2109,45794.0
2023-07-26,0.22,0.2819,0.22,0.2699,1509517.0
2023-07-27,0.241,0.3,0.222,0.2501,84770.0
2023-07-28,0.2501,0.3325,0.25,0.2795,37899.0
2023-07-31,0.3101,0.335,0.246,0.26,87679.0
2023-08-01,0.255,0.3077,0.2501,0.3,367764.0
2023-08-02,0.3,0.3,0.2857,0.2895,9600.0
2023-08-03,0.28,0.2907,0.28,0.2907,26700.0
2023-08-04,0.3,0.3,0.278,0.29,96828.0
2023-08-07,0.3221,0.3221,0.3209,0.3209,721.0
2023-08-08,0.33,0.33,0.28,0.28,4621.0
2023-08-09,0.2956,0.3,0.271,0.271,4587.0
2023-08-10,0.272,0.283,0.25,0.273,1875682.0
2023-08-11,0.32,0.32,0.23,0.25,158980.0
2023-08-14,0.2064,0.295,0.2064,0.275,553884.0
2023-08-15,0.257,0.3115,0.246,0.2751,137366.0
2023-08-16,0.2742,0.2855,0.2482,0.2503,33103.0
2023-08-17,0.2612,0.299,0.22,0.2304,40461.0
2023-08-18,0.2186,0.25,0.2186,0.23,119376.0
2023-08-21,0.23,0.2301,0.2001,0.2001,124717.0
2023-08-22,0.2179,0.2499,0.201,0.202,8381.0
2023-08-23,0.2219,0.25,0.204,0.24,523874.0
2023-08-24,0.2051,0.2735,0.2021,0.2105,16720.0
2023-08-25,0.23,0.25,0.2064,0.2064,50200.0
2023-08-28,0.2498,0.2498,0.2058,0.2066,11969.0
2023-08-29,0.2198,0.25,0.201,0.23,764673.0
2023-08-30,0.2071,0.24,0.175,0.175,161989.0
2023-08-31,0.1989,0.2025,0.185,0.1876,111355.0
2023-09-01,0.2295,0.2295,0.155,0.1726,378314.0
2023-09-05,0.1877,0.1988,0.185,0.1988,139274.0
2023-09-06,0.1614,0.2699,0.1614,0.188,45766.0
2023-09-07,0.1725,0.239,0.1725,0.1924,117555.0
2023-09-08,0.1974,0.1975,0.1974,0.1975,2049.0
2023-09-11,0.2,0.206,0.1875,0.206,801.0
2023-09-12,0.2259,0.2259,0.1676,0.1725,13536.0
2023-09-13,0.1895,0.24,0.1776,0.2,757764.0
2023-09-14,0.2,0.24,0.195,0.225,194930.0
2023-09-15,0.22,0.23,0.1962,0.2,290194.0
2023-09-18,0.1904,0.2,0.1653,0.19,279406.0
2023-09-19,0.18,0.2,0.17,0.1802,49207.0
2023-09-20,0.18,0.1998,0.1646,0.1797,42999.0
2023-09-21,0.1849,0.1849,0.17,0.18,1700.0
2023-09-22,0.1801,0.1947,0.17,0.1701,10699.0
2023-09-25,0.17,0.1886,0.1652,0.18,82706.0
2023-09-26,0.18,0.195,0.176,0.195,20114.0
2023-09-27,0.195,0.195,0.195,0.195,0.0
2023-09-28,0.18,0.2275,0.1701,0.1975,89578.0
2023-09-29,0.1799,0.1999,0.1799,0.1899,15697.0
2023-10-02,0.1901,0.1901,0.1801,0.1803,6417.0
2023-10-03,0.1786,0.1786,0.17,0.1701,8550.0
2023-10-04,0.1701,0.1701,0.1502,0.17,99418.0
2023-10-05,0.17,0.17,0.1651,0.17,9211.0
2023-10-06,0.1999,0.2,0.1576,0.1654,28190.0
2023-10-09,0.1705,0.175,0.17,0.17,3850.0
2023-10-10,0.17,0.2,0.17,0.2,31000.0
2023-10-11,0.1704,0.2084,0.17,0.1923,4152.0
2023-10-12,0.17,0.17,0.17,0.17,551.0
2023-10-13,0.1701,0.1725,0.17,0.17,3900.0
2023-10-16,0.1868,0.21,0.175,0.175,2121.0
2023-10-17,0.17,0.17,0.17,0.17,1100.0
2023-10-18,0.17,0.17,0.17,0.17,0.0
2023-10-19,0.185,0.185,0.17,0.1749,60216.0
2023-10-20,0.1749,0.1749,0.1749,0.1749,0.0
2023-10-23,0.1897,0.2,0.1701,0.1701,1500.0
2023-10-24,0.1898,0.1898,0.1506,0.1576,4800.0
2023-10-25,0.17,0.17,0.1526,0.16,520150.0
2023-10-26,0.16,0.16,0.16,0.16,0.0
2023-10-27,0.16,0.1697,0.16,0.16,11022.0
2023-10-30,0.1601,0.1601,0.1501,0.16,89368.0
2023-10-31,0.16,0.16,0.1492,0.15,187352.0
2023-11-01,0.1501,0.1605,0.1401,0.15,460101.0
2023-11-02,0.15,0.15,0.15,0.15,121.0
2023-11-03,0.15,0.15,0.15,0.15,15701.0
