date,open,high,low,close,volume
2025-11-13,3.7,4.3,3.7,3.85,1486872.0
2025-11-14,4.18,4.26,3.87,4.01,1202212.0
2025-11-17,3.93,4.02,2.98,3.81,3070850.0
2025-11-18,3.91,4.1499,3.84,4.0,1538466.0
2025-11-19,3.97,4.14,3.87,4.1,378449.0
2025-11-20,4.1,4.14,3.65,3.65,379971.0
2025-11-21,3.7,3.8,3.6,3.79,95022.0
2025-11-24,3.6,3.87,3.6,3.78,63689.0
2025-11-25,3.67,3.78,3.6,3.62,50554.0
2025-11-26,3.64,3.78,3.55,3.61,234452.0
2025-11-28,3.68,3.75,3.575,3.68,146614.0
2025-12-01,3.7,3.7499,3.5,3.51,181670.0
2025-12-02,3.5,3.88,3.41,3.88,327941.0
2025-12-03,3.78,3.82,3.61,3.65,82441.0
2025-12-04,3.65,3.8,3.6,3.72,200649.0
2025-12-05,3.76,3.84,3.64,3.7,180665.0
2025-12-08,3.74,3.788,3.56,3.62,85480.0
2025-12-09,3.62,3.8,3.62,3.72,174840.0
2025-12-10,3.65,3.8,3.6,3.6,932918.0
2025-12-11,3.62,3.75,3.59,3.72,430293.0
2025-12-12,3.69,3.8,3.56,3.7,374564.0
2025-12-15,3.7,3.75,3.63,3.67,1350170.0
2025-12-16,3.7,3.77,3.61,3.74,1281941.0
2025-12-17,3.75,3.77,3.67,3.76,576852.0
2025-12-18,3.72,3.85,3.68,3.82,436519.0
2025-12-19,3.77,3.79,3.6829,3.75,423843.0
2025-12-22,3.75,3.81,3.75,3.8,305064.0
2025-12-23,3.82,3.94,3.65,3.65,2137403.0
2025-12-24,3.75,3.85,3.74,3.75,214266.0
2025-12-26,3.79,3.83,3.7,3.8,164815.0
2025-12-29,3.75,3.94,3.75,3.76,1396139.0
2025-12-30,3.76,3.92,3.55,3.55,377093.0
2025-12-31,3.62,3.73,3.43,3.43,158180.0
2026-01-02,3.51,3.51,2.9,3.16,241632.0
2026-01-05,3.15,3.46,3.15,3.35,88243.0
2026-01-06,3.55,3.67,3.26,3.42,887424.0
2026-01-07,3.38,3.49,3.29,3.42,938148.0
2026-01-08,3.38,3.69,3.3,3.45,5659722.0
2026-01-09,3.5,3.64,3.4,3.55,478125.0
2026-01-12,3.45,3.62,3.45,3.6,221736.0
2026-01-13,3.62,3.79,3.5,3.64,4701334.0
2026-01-14,3.56,3.57,3.19,3.24,95338.0
2026-01-15,3.25,3.26,3.07,3.1,164273.0
2026-01-16,3.1,3.27,3.1,3.14,135698.0
2026-01-20,3.08,3.32,3.07,3.17,124389.0
2026-01-21,3.07,3.27,2.99,3.12,373254.0
2026-01-22,3.17,3.3,3.09,3.3,259173.0
2026-01-23,3.53,3.65,3.45,3.61,2663862.0
2026-01-26,3.63,3.64,3.5,3.57,676660.0
2026-01-27,3.59,3.755,3.59,3.67,487325.0
2026-01-28,3.71,3.9,3.55,3.56,2380232.0
2026-01-29,3.56,3.56,3.26,3.27,105294.0
2026-01-30,3.32,4.1,3.2807,3.87,771961.0
2026-02-02,3.84,4.14,3.75,3.75,792902.0
2026-02-03,3.86,4.99,3.81,4.99,1011646.0
2026-02-04,5.02,6.65,5.02,6.6,1363336.0
2026-02-05,6.78,7.395,6.3,6.57,650343.0
2026-02-06,6.46,6.7195,5.86,6.02,903824.0
2026-02-09,6.32,6.35,6.1,6.27,1299072.0
2026-02-10,6.0,6.5,5.9059,6.2,1497214.0
2026-02-11,6.3,6.93,6.1,6.44,6229420.0
2026-02-12,6.44,6.73,6.39,6.42,7664473.0
2026-02-13,6.46,7.05,0.53,1.06,11766593.0
2026-02-17,0.7674,0.93,0.7216,0.89,3186550.0
2026-02-18,0.7963,1.27,0.7963,0.9938,3291555.0
2026-02-19,0.95,1.04,0.9321,0.96,473390.0
2026-02-20,0.911,0.97,0.87,0.91,487326.0
2026-02-23,0.9,0.98,0.8809,0.98,562823.0
2026-02-24,0.9648,0.9934,0.9418,0.99,432031.0
2026-02-25,1.16,1.2,1.03,1.2,772036.0
2026-02-26,1.16,1.5,1.1,1.47,516244.0
2026-02-27,1.49,1.73,1.462,1.69,303327.0
2026-03-02,1.7,1.72,1.4,1.54,362056.0
2026-03-03,1.45,1.95,1.45,1.94,427752.0
2026-03-04,1.9,2.2699,1.86,2.13,380711.0
2026-03-05,2.12,2.2,1.7087,1.86,281091.0
2026-03-06,1.87,1.87,1.595,1.69,251871.0
2026-03-09,1.69,1.7,1.52,1.63,151544.0
2026-03-10,1.66,1.95,1.45,1.72,552395.0
2026-03-11,1.63,1.74,1.63,1.69,63123.0
2026-03-12,1.68,1.69,1.41,1.46,208906.0
2026-03-13,1.5,1.5,1.42,1.43,66500.0
2026-03-16,1.43,1.74,1.43,1.67,177682.0
2026-03-17,1.65,1.675,1.5,1.56,112408.0
2026-03-18,1.56,1.62,1.48,1.52,68062.0
2026-03-19,1.51,1.63,1.49,1.5,46234.0
2026-03-20,1.48,1.55,1.47,1.47,45476.0
2026-03-23,1.49,1.6,1.38,1.58,146571.0
2026-03-24,1.58,1.6,1.54,1.57,57014.0
2026-03-25,1.55,1.58,1.4901,1.53,72898.0
2026-03-26,1.51,1.65,1.51,1.55,48844.0
2026-03-27,1.55,1.6,1.49,1.6,181346.0
2026-03-30,1.6,1.79,1.59,1.59,196574.0
2026-03-31,1.57,1.64,1.5,1.61,77620.0
