date,open,high,low,close,volume
2016-12-07,7.55,9.2,7.09,9.0,1180226.0
2016-12-08,9.59,9.6,8.4,8.6,215154.0
2016-12-09,8.75,8.93,8.45,8.87,127726.0
2016-12-12,8.93,8.93,8.03,8.18,112870.0
2016-12-13,8.17,8.33,7.82,7.93,81469.0
2016-12-14,8.1,8.85,8.0,8.72,152974.0
2016-12-15,8.87,9.04,8.5,9.02,111527.0
2016-12-16,9.09,9.2099,8.8008,9.15,88643.0
2016-12-19,9.07,9.45,8.87,9.35,30392.0
2016-12-20,9.35,10.24,9.0,10.03,177823.0
2016-12-21,10.02,10.6878,10.02,10.3,155258.0
2016-12-22,10.15,10.4488,9.8001,10.11,89095.0
2016-12-23,10.2,10.2,9.87,10.04,55412.0
2016-12-27,10.09,10.09,9.55,9.73,69853.0
2016-12-28,9.5,9.88,8.13,8.73,168521.0
2016-12-29,8.88,9.04,8.5,8.94,47556.0
2016-12-30,9.0,9.1,8.76,8.95,35506.0
2017-01-03,9.1,9.1,8.5,8.6,33386.0
2017-01-04,8.5,8.6,8.11,8.37,45461.0
2017-01-05,8.49,8.6,8.28,8.36,83439.0
2017-01-06,8.4,8.45,8.35,8.4,66370.0
2017-01-09,8.6,8.66,8.11,8.33,41691.0
2017-01-10,8.4,8.42,7.8,8.29,80367.0
2017-01-11,8.2685,8.3,8.1537,8.19,16891.0
2017-01-12,8.27,8.28,7.63,7.96,64595.0
2017-01-13,7.63,8.23,7.63,8.18,16191.0
2017-01-17,8.2,8.2,7.77,7.96,13022.0
2017-01-18,7.96,8.08,7.66,7.71,55228.0
2017-01-19,7.69,8.22,7.63,8.12,34786.0
2017-01-20,8.25,8.26,8.07,8.18,48873.0
2017-01-23,8.18,8.18,8.0048,8.18,15257.0
2017-01-24,8.18,8.189,8.07,8.17,21860.0
2017-01-25,8.1122,8.25,8.11,8.17,27385.0
2017-01-26,8.25,8.499,8.25,8.35,37026.0
2017-01-27,8.2631,8.37,8.01,8.12,24404.0
2017-01-30,8.2,8.35,8.01,8.22,52142.0
2017-01-31,8.26,8.37,8.2,8.3,24540.0
2017-02-01,8.3,8.3,8.01,8.13,60432.0
2017-02-02,8.0999,8.1,7.8,7.82,59550.0
2017-02-03,7.8,8.0,7.8,7.89,6236.0
2017-02-06,8.0,8.0,7.8305,7.9499,31992.0
2017-02-07,7.95,8.0,7.8099,7.95,30635.0
2017-02-08,7.8355,7.95,7.83,7.9,23741.0
2017-02-09,7.92,8.4316,7.92,8.25,114761.0
2017-02-10,8.25,8.8,8.15,8.42,247445.0
2017-02-13,8.6,9.17,8.5602,8.95,67262.0
2017-02-14,9.38,9.4,8.6,8.76,102404.0
2017-02-15,8.83,8.95,8.49,8.92,39116.0
2017-02-16,8.95,9.16,8.81,9.15,80274.0
2017-02-17,9.05,9.15,8.86,8.91,37115.0
2017-02-21,8.95,9.05,8.76,8.91,31960.0
2017-02-22,8.9053,9.12,8.62,8.82,31502.0
2017-02-23,9.04,9.05,8.7591,9.01,63588.0
2017-02-24,9.05,9.13,8.7536,9.07,65994.0
2017-02-27,9.05,9.1,8.7747,9.03,28993.0
2017-02-28,9.0,9.02,8.701,8.72,12912.0
2017-03-01,8.8333,8.9657,8.65,8.8,41083.0
2017-03-02,8.63,8.91,8.03,8.16,97763.0
2017-03-03,7.9,8.95,7.9,8.7399,106975.0
2017-03-06,10.95,11.5,9.0,9.23,1703176.0
2017-03-07,9.27,9.3999,8.58,9.15,409695.0
2017-03-08,9.15,9.3063,8.9153,9.09,62132.0
2017-03-09,9.11,9.127,8.91,8.93,55647.0
2017-03-10,8.95,9.38,8.8443,8.8973,70327.0
2017-03-13,8.94,9.35,8.94,9.3,74991.0
2017-03-14,9.36,9.36,9.03,9.05,62498.0
2017-03-15,8.99,9.05,8.26,8.49,264719.0
2017-03-16,8.5,8.6819,8.11,8.11,280242.0
2017-03-17,8.08,8.24,7.5,7.64,337467.0
2017-03-20,7.7,8.45,7.65,8.0,300159.0
2017-03-21,8.16,8.2399,7.71,8.16,217885.0
2017-03-22,8.13,8.17,7.8,8.1,134628.0
2017-03-23,8.05,8.18,7.91,7.97,165499.0
