date,open,high,low,close,volume
2025-10-08,4.5,5.0399,3.47,4.03,6989376.0
2025-10-09,3.9,4.88,3.9,4.77,1568170.0
2025-10-10,4.89,4.8908,4.11,4.35,3203945.0
2025-10-13,4.57,4.57,4.07,4.4,3172157.0
2025-10-14,4.45,4.7,4.37,4.7,2844869.0
2025-10-15,4.7,4.7,4.2,4.64,6280636.0
2025-10-16,4.64,4.66,4.31,4.41,2546212.0
2025-10-17,4.4,4.4,3.8701,4.18,604894.0
2025-10-20,4.18,4.3,4.18,4.28,250184.0
2025-10-21,4.22,4.39,4.09,4.3,5143987.0
2025-10-22,4.4,4.55,4.24,4.38,4910401.0
2025-10-23,4.5,4.68,4.42,4.61,3764084.0
2025-10-24,4.71,4.7394,4.35,4.64,1646168.0
2025-10-27,4.6,4.7,4.4,4.7,2403966.0
2025-10-28,4.7,4.8325,4.43,4.82,2526587.0
2025-10-29,4.82,4.94,4.7,4.93,1809304.0
2025-10-30,5.0,5.45,5.0,5.45,7867223.0
2025-10-31,5.45,5.525,5.21,5.41,1489187.0
2025-11-03,5.36,5.67,5.2508,5.63,1496103.0
2025-11-04,5.63,5.88,5.51,5.79,4626061.0
2025-11-05,5.9,6.13,5.8,6.07,3260850.0
2025-11-06,6.19,6.43,5.7,6.09,4475735.0
2025-11-07,6.28,6.28,5.0,5.34,2325298.0
2025-11-10,5.5,5.75,5.03,5.38,471710.0
2025-11-11,5.3,5.425,5.03,5.3,275672.0
2025-11-12,5.3,5.4,4.11,4.52,1452252.0
2025-11-13,4.19,4.41,3.35,3.58,2576763.0
2025-11-14,3.58,3.94,3.5,3.81,706681.0
2025-11-17,3.97,4.605,3.645,4.33,439102.0
2025-11-18,4.17,4.52,3.9,4.21,514022.0
2025-11-19,4.2,4.3,4.05,4.29,161936.0
2025-11-20,4.29,4.45,4.09,4.44,339848.0
2025-11-21,4.4,4.75,4.3001,4.55,203883.0
2025-11-24,4.55,5.0,4.55,4.59,1288760.0
2025-11-25,4.6,4.71,4.2,4.27,136694.0
2025-11-26,4.07,4.24,3.9,3.9,130357.0
2025-11-28,3.97,4.55,3.91,4.32,322177.0
2025-12-01,4.44,4.83,4.33,4.47,2527449.0
2025-12-02,4.58,4.85,4.43,4.66,4100637.0
2025-12-03,4.71,5.08,4.51,4.91,7454575.0
2025-12-04,4.94,5.54,4.68,4.74,4731001.0
2025-12-05,4.78,5.48,4.68,5.45,18113424.0
2025-12-08,5.4,5.6899,5.14,5.57,17090867.0
2025-12-09,5.54,5.5436,5.08,5.42,8465888.0
2025-12-10,1.52,1.73,0.5,0.5,28468665.0
2025-12-11,0.371,0.48,0.26,0.384,12549988.0
2025-12-12,0.3674,0.52,0.3674,0.4221,4356246.0
2025-12-15,0.4403,0.45,0.363,0.3701,2199393.0
2025-12-16,0.37,0.3713,0.313,0.3251,1191437.0
2025-12-17,0.3188,0.35,0.295,0.306,1262500.0
2025-12-18,0.2901,0.3115,0.26,0.3064,3000950.0
2025-12-19,0.2841,0.3041,0.2794,0.3001,1481010.0
2025-12-22,0.2733,0.2999,0.26,0.2672,1573101.0
2025-12-23,0.2618,0.406,0.2618,0.3499,9064780.0
2025-12-24,0.335,0.3687,0.33,0.35,864408.0
2025-12-26,0.33,0.3587,0.3251,0.3531,231138.0
2025-12-29,0.3213,0.3602,0.3213,0.3454,560997.0
2025-12-30,0.3466,0.3466,0.3151,0.3152,681625.0
2025-12-31,0.295,0.3063,0.28,0.2949,904719.0
2026-01-02,0.3325,0.3325,0.292,0.3259,383490.0
2026-01-05,0.31,0.3364,0.31,0.3251,590073.0
2026-01-06,0.31,0.345,0.31,0.3282,267575.0
2026-01-07,0.32,0.3398,0.32,0.3376,170713.0
2026-01-08,0.3,0.3309,0.3,0.3113,268147.0
2026-01-09,0.3113,0.322,0.2804,0.32,706480.0
2026-01-12,0.31,0.3228,0.2918,0.3199,379633.0
2026-01-13,0.3008,0.32,0.3008,0.318,290208.0
2026-01-14,0.301,0.31,0.282,0.308,480839.0
2026-01-15,0.301,0.31,0.2982,0.3064,135820.0
2026-01-16,0.3064,0.319,0.2961,0.3012,437024.0
2026-01-20,0.3023,0.3038,0.27,0.2966,428639.0
2026-01-21,0.3007,0.3007,0.27,0.2954,686943.0
2026-01-22,0.298,0.299,0.275,0.295,745370.0
2026-01-23,0.295,0.295,0.282,0.288,341309.0
2026-01-26,0.295,0.295,0.2693,0.277,612513.0
2026-01-27,0.27,0.282,0.25,0.2523,948039.0
2026-01-28,0.26,0.26,0.2414,0.25,362070.0
2026-01-29,0.2711,0.2711,0.2161,0.2212,677727.0
2026-01-30,0.23,0.24,0.2214,0.2311,430235.0
2026-02-02,0.235,0.2565,0.229,0.243,1260800.0
2026-02-03,0.243,0.243,0.231,0.2342,306946.0
2026-02-04,0.243,0.243,0.2206,0.2306,206339.0
2026-02-05,0.2207,0.2355,0.2113,0.221,366706.0
2026-02-06,0.205,0.244,0.205,0.231,140472.0
2026-02-09,0.225,0.24,0.215,0.24,171675.0
2026-02-10,0.2326,0.245,0.2258,0.23,385249.0
2026-02-11,0.22,0.24,0.22,0.2376,239979.0
2026-02-12,0.24,0.24,0.222,0.236,265661.0
