date,open,high,low,close,volume
2016-01-04,6.5,6.53,6.3801,6.51,4881.0
2016-01-05,6.73,6.74,6.6,6.6858,9808.0
2016-01-06,6.68,7.07,6.66,6.88,60263.0
2016-01-07,6.91,6.91,6.47,6.48,14361.0
2016-01-08,6.7,6.71,6.23,6.42,9967.0
2016-01-11,6.2212,6.59,6.2212,6.57,16869.0
2016-01-12,6.59,6.63,6.51,6.51,4631.0
2016-01-13,6.55,6.65,6.3,6.39,14974.0
2016-01-19,6.3501,6.44,6.15,6.15,14025.0
2016-01-20,6.18,6.27,5.9,6.27,11605.0
2016-01-21,6.21,6.2299,5.75,5.93,22503.0
2016-01-22,5.93,7.04,5.93,6.7,27089.0
2016-01-25,6.74,6.82,6.25,6.53,8362.0
2016-01-26,6.5101,6.62,6.337,6.38,8682.0
2016-01-27,6.3,6.38,6.3,6.31,13122.0
2016-01-28,6.33,6.39,6.13,6.18,7953.0
2016-01-29,5.3623,6.4,5.3623,6.4,11836.0
2016-02-01,6.73,8.37,6.73,7.42,68614.0
2016-02-02,7.7,7.82,7.48,7.5,32406.0
2016-02-03,7.77,7.77,7.48,7.54,7824.0
2016-02-04,7.48,7.65,7.48,7.6,5380.0
2016-02-05,7.59,7.59,7.47,7.5,6886.0
2016-02-08,7.44,7.5399,7.19,7.28,4921.0
2016-02-09,7.34,7.38,7.04,7.07,7229.0
2016-02-10,7.04,7.32,7.0,7.3,8411.0
2016-02-11,6.9801,7.25,6.9801,7.11,2898.0
2016-02-12,7.03,7.26,7.0,7.08,2909.0
2016-02-16,7.09,7.1,7.09,7.0999,522.0
2016-02-17,7.0,7.09,6.95,7.0,8546.0
2016-02-18,7.018,7.1,6.95,7.1,7402.0
2016-02-19,7.135,7.135,7.0,7.01,5840.0
2016-02-22,7.06,7.39,7.06,7.38,15823.0
2016-02-23,7.44,7.5299,7.33,7.33,15005.0
2016-02-24,7.35,7.43,7.3,7.35,46740.0
2016-02-25,7.4133,7.43,7.31,7.33,7270.0
2016-02-26,7.385,7.449,7.32,7.39,37296.0
2016-03-01,7.342,7.44,7.21,7.3,38614.0
2016-03-02,7.2903,7.31,7.21,7.31,2244.0
2016-03-03,7.35,7.45,7.28,7.28,10675.0
2016-03-04,7.271,7.35,7.2284,7.23,56432.0
2016-03-07,7.29,7.35,7.22,7.33,21688.0
2016-03-08,7.25,7.35,7.11,7.11,2777.0
2016-03-09,7.24,7.33,7.16,7.33,5719.0
2016-03-10,6.93,7.39,6.93,7.215,14477.0
2016-03-11,7.22,7.35,7.21,7.35,3279.0
2016-03-14,7.32,7.33,7.205,7.22,1930.0
2016-03-15,7.2201,7.28,7.22,7.26,4982.0
2016-03-16,7.29,7.34,7.14,7.185,7254.0
2016-03-17,7.233,7.76,7.233,7.74,34765.0
2016-03-18,7.86,7.89,7.49,7.49,15419.0
2016-03-21,7.59,7.59,7.0,7.2199,45504.0
2016-03-22,7.22,7.44,7.12,7.25,14502.0
2016-03-23,7.39,7.5,7.1285,7.1285,8460.0
2016-03-24,7.12,7.23,7.11,7.11,5307.0
2016-03-28,7.06,7.14,6.8,7.08,17177.0
2016-04-01,7.15,7.21,6.405,7.09,38744.0
2016-04-04,7.07,7.27,7.0358,7.1,8627.0
2016-04-05,7.2,7.21,7.195,7.21,2207.0
2016-04-06,7.19,7.21,7.142,7.19,4384.0
2016-04-07,7.206,7.206,7.09,7.09,2547.0
2016-04-08,7.09,7.1,6.95,7.06,3986.0
2016-04-11,7.23,7.23,7.19,7.19,3222.0
2016-04-12,7.17,7.17,7.15,7.15,726.0
2016-04-13,7.23,7.47,7.16,7.32,12323.0
2016-04-14,7.2399,7.2399,7.0512,7.14,5272.0
2016-04-15,7.14,7.15,7.1,7.12,1120.0
2016-04-18,7.0815,7.15,7.065,7.1,5155.0
2016-04-19,7.1,7.222,7.0,7.1799,11150.0
2016-04-20,7.07,7.09,6.8,7.09,38464.0
2016-05-02,7.0,7.03,6.7,6.77,28909.0
2016-05-03,6.74,6.7799,6.74,6.74,4100.0
2016-05-04,6.75,6.93,6.72,6.9,16962.0
2016-05-05,6.95,7.0,6.84,6.99,13840.0
2016-05-06,6.9,6.98,6.85,6.97,6434.0
2016-05-09,6.86,6.86,6.7,6.7,24688.0
2016-05-10,6.71,6.71,6.7,6.71,5509.0
2016-05-11,6.78,6.86,6.73,6.86,6639.0
2016-05-12,6.72,6.86,6.7,6.75,11957.0
2016-05-13,6.7,6.78,6.67,6.78,83184.0
2016-05-16,6.82,6.9201,6.72,6.9,3702.0
2016-05-17,7.0,7.11,6.72,7.0,42366.0
2016-05-18,6.78,6.91,6.73,6.91,4198.0
2016-05-19,6.83,6.87,6.71,6.85,4554.0
2016-05-20,6.97,7.19,6.74,7.0,20934.0
2016-05-23,7.4899,7.52,7.28,7.49,11183.0
2016-05-24,7.7,7.8824,7.38,7.52,6476.0
