date,open,high,low,close,volume
2013-05-03,5.75,5.75,5.75,5.75,200.0
2013-05-07,5.75,5.75,5.75,5.75,400.0
2013-05-16,6.0,6.0,6.0,6.0,100.0
2013-06-28,6.3,6.3,6.3,6.3,100.0
2013-07-10,6.5,6.5,6.5,6.5,400.0
2013-08-14,7.0,7.0,7.0,7.0,300.0
2013-08-15,7.0,7.2,6.95,7.0,124700.0
2013-08-16,7.0,7.2,6.95,7.0,124700.0
2013-08-19,7.0,7.2,6.95,7.0,124700.0
2013-08-20,7.0,7.2,6.95,7.0,124700.0
2013-08-21,7.0,7.2,6.95,7.0,124700.0
2013-08-22,7.0,7.2,6.95,7.0,124700.0
2013-08-23,7.0,7.2,6.95,7.0,124700.0
2013-08-26,7.0,7.2,6.95,7.0,124700.0
2013-08-27,7.0,7.2,6.95,7.0,124700.0
2013-08-28,7.0,7.2,6.95,7.0,124700.0
2013-08-29,7.0,7.2,6.95,7.0,124700.0
2013-08-30,7.0,7.2,6.95,7.0,124700.0
2013-09-03,7.0,7.2,6.95,7.0,124700.0
2013-09-04,7.0,7.2,6.95,7.0,124700.0
2013-09-05,7.0,7.2,6.95,7.0,124700.0
2013-09-06,7.0,7.2,6.95,7.0,124700.0
2013-09-09,7.0,7.2,6.95,7.0,124700.0
2013-09-10,7.0,7.2,6.95,7.0,124700.0
2013-09-11,7.0,7.2,6.95,7.0,124700.0
2013-09-12,7.0,7.2,6.95,7.0,124700.0
2013-09-13,7.0,7.2,6.95,7.0,124700.0
2013-09-16,7.0,7.2,6.95,7.0,124700.0
2013-09-17,7.0,7.2,6.95,7.0,124700.0
2013-09-18,7.0,7.2,6.95,7.0,124700.0
2013-09-19,7.0,7.2,6.95,7.08,186000.0
2013-09-20,7.12,7.5,7.12,7.3,29400.0
2013-09-23,7.5,7.5,7.15,7.5,5900.0
2013-09-24,7.5,7.68,7.499,7.5,9600.0
2013-09-25,7.6,8.98,7.6,8.0,12400.0
2013-09-26,8.14,8.24,8.05,8.189,7300.0
2013-09-27,8.05,8.3,8.0401,8.3,6700.0
2013-09-30,8.3,8.3,8.3,8.3,0.0
2013-10-01,8.29,8.29,8.09,8.09,3100.0
2013-10-02,8.1323,8.1323,8.09,8.09,3900.0
2013-10-03,8.0701,8.134,8.0,8.134,11300.0
2013-10-04,8.05,8.0995,8.05,8.0913,1400.0
2013-10-07,8.05,8.0501,8.05,8.0501,2800.0
2013-10-08,8.099,8.099,8.0,8.0,4900.0
2013-10-09,7.551,7.71,7.55,7.61,5100.0
2013-10-10,8.05,8.05,8.05,8.05,1700.0
2013-10-11,8.1,8.1,8.05,8.1,8300.0
2013-10-14,7.81,7.81,7.81,7.81,200.0
2013-10-15,7.81,7.81,7.81,7.81,0.0
2013-10-16,8.1,8.5,7.75,8.5,2400.0
2013-10-17,8.25,8.25,8.249,8.25,2100.0
2013-10-18,8.25,8.25,8.249,8.25,1900.0
2013-10-21,8.1,8.1,7.9999,8.0,11700.0
2013-10-22,8.0,8.0,8.0,8.0,0.0
2013-10-23,8.0,8.0,7.79,7.79,300.0
2013-10-24,8.0,8.05,7.8,7.8,14900.0
2013-10-25,8.0,8.0,8.0,8.0,1300.0
2013-10-28,8.0,8.0,8.0,8.0,0.0
2013-10-29,8.0,8.0,8.0,8.0,0.0
2013-10-30,8.0,8.0,8.0,8.0,0.0
2013-10-31,8.0,8.0,8.0,8.0,0.0
