date,open,high,low,close,volume
2002-11-08,14.75,16.34,14.75,15.45,2493500.0
2002-11-11,15.3,16.75,15.14,16.4,567300.0
2002-11-12,16.5,16.5,15.55,15.86,250300.0
2002-11-13,15.68,16.5,15.6,16.3,101800.0
2002-11-14,16.35,17.3,16.25,17.0,218400.0
2002-11-15,17.05,17.62,17.0,17.31,78100.0
2002-11-18,17.99,18.75,17.45,18.0,139800.0
2002-11-19,18.07,18.07,16.16,16.16,105200.0
2002-11-20,16.41,17.24,16.15,17.18,197600.0
2002-11-21,16.87,18.05,16.87,17.3,83000.0
2002-11-22,17.4,17.6,16.54,17.6,41300.0
2002-11-25,17.58,18.47,17.35,18.47,171000.0
2002-11-26,18.31,19.37,16.7,17.0,76400.0
2002-11-27,17.1,17.92,16.89,17.67,93300.0
2002-11-29,17.6,18.0,17.0,17.59,23500.0
2002-12-02,17.5,18.04,16.75,17.5,56700.0
2002-12-03,17.65,18.1,17.13,17.9,32600.0
2002-12-04,18.12,20.5,18.01,18.95,309900.0
2002-12-05,19.5,19.5,18.95,18.96,148000.0
2002-12-06,19.5,19.5,18.56,18.9,42900.0
2002-12-09,18.95,19.25,18.9,19.03,122500.0
2002-12-10,19.0,19.14,18.83,18.9,56600.0
2002-12-11,19.15,19.15,18.23,18.62,79200.0
2002-12-12,18.58,18.65,18.23,18.23,16600.0
2002-12-13,18.02,18.04,17.45,17.84,71200.0
2002-12-16,17.83,19.5,17.55,19.5,79600.0
2002-12-17,19.47,19.64,19.02,19.17,35900.0
2002-12-18,18.85,19.4,18.85,19.0,39000.0
2002-12-19,19.24,19.25,19.0,19.25,21500.0
2002-12-20,19.25,19.55,19.0,19.47,27300.0
2002-12-23,19.3,19.55,19.3,19.35,51900.0
2002-12-24,19.55,19.55,19.27,19.47,8900.0
2002-12-26,19.54,19.54,19.17,19.25,30300.0
2002-12-27,19.4,19.4,18.86,18.99,42800.0
2002-12-30,19.32,19.45,18.06,18.89,62600.0
2002-12-31,18.15,18.55,18.0,18.25,97900.0
2003-01-02,18.28,19.06,18.26,18.75,30900.0
2003-01-03,19.12,19.12,18.62,18.9,9700.0
2003-01-06,19.05,21.4,18.9,20.64,111900.0
2003-01-07,20.99,21.08,20.3,21.08,72700.0
2003-01-08,21.07,21.89,20.08,20.2,92400.0
2003-01-09,20.8,21.1,20.2,20.73,40400.0
2003-01-10,20.69,21.17,20.47,20.75,63100.0
2003-01-13,20.9,21.0,20.36,20.97,23800.0
2003-01-14,20.502,21.47,20.5,20.77,23500.0
2003-01-15,20.67,21.09,20.5,20.7,20600.0
2003-01-16,20.37,20.99,20.36,20.75,51500.0
2003-01-17,20.31,20.6,20.0,20.25,17700.0
2003-01-21,20.15,20.45,18.32,19.72,84800.0
2003-01-22,19.5,20.0,19.0,19.25,44900.0
2003-01-23,19.25,20.12,19.25,19.9,19700.0
2003-01-24,20.1,20.1,18.7,18.97,29500.0
2003-01-27,19.2,19.2,18.5,19.0,50000.0
2003-01-28,19.0,19.29,19.0,19.28,36200.0
2003-01-29,19.0,19.29,19.0,19.28,52300.0
2003-01-30,20.06,21.6,20.06,21.29,176700.0
2003-01-31,21.01,23.0,21.0,22.04,242300.0
2003-02-03,22.25,22.5,21.75,22.49,170800.0
2003-02-04,22.5,22.5,21.84,21.98,274000.0
2003-02-05,22.1,22.37,21.98,22.35,73200.0
2003-02-06,22.5,23.62,22.16,22.88,145400.0
2003-02-07,23.0,23.1,20.61,21.15,158300.0
2003-02-10,21.25,22.82,20.49,22.5,127900.0
2003-02-11,23.0,25.0,23.0,23.97,327600.0
2003-02-12,24.05,24.1,23.0,23.11,208900.0
2003-02-13,22.85,23.33,21.56,23.02,102000.0
2003-02-14,23.04,23.59,22.82,23.39,269200.0
2003-02-18,23.6,24.9,22.75,24.71,76500.0
2003-02-19,24.5,24.61,24.27,24.5,123300.0
2003-02-20,24.54,24.55,24.37,24.5,31400.0
2003-02-21,24.54,24.54,23.78,23.87,20300.0
2003-02-24,24.08,24.27,23.75,24.0,20700.0
2003-02-25,24.16,24.25,23.5,23.99,30400.0
2003-02-26,24.25,25.0,24.04,24.28,77200.0
