date,open,high,low,close,volume
2022-05-18,0.4059,0.53,0.36,0.39,8569.0
2022-05-19,0.55,0.55,0.2617,0.2915,48141.0
2022-05-20,0.35,0.38,0.2925,0.38,125567.0
2022-05-23,0.38,0.4,0.38,0.3806,66745.0
2022-05-24,0.37,0.39,0.35,0.35,3561.0
2022-05-25,0.38,0.42,0.37,0.42,84231.0
2022-05-26,0.3906,0.41,0.3659,0.39,40028.0
2022-05-27,0.39,0.4008,0.39,0.398,748.0
2022-05-31,0.45,0.45,0.3825,0.3832,489332.0
2022-06-01,0.385,0.49,0.3775,0.412,7284.0
2022-06-02,0.36,0.3991,0.36,0.3991,49542.0
2022-06-03,0.3991,0.3991,0.3991,0.3991,0.0
2022-06-06,0.3711,0.4038,0.3711,0.4038,1526.0
2022-06-07,0.3677,0.3677,0.3677,0.3677,100.0
2022-06-08,0.3677,0.3677,0.3677,0.3677,3.0
2022-06-09,0.355,0.3797,0.355,0.375,3474.0
2022-06-10,0.375,0.375,0.375,0.375,8.0
2022-06-13,0.38,0.38,0.3593,0.36,71577.0
2022-06-14,0.365,0.365,0.2681,0.2762,4818.0
2022-06-15,0.2762,0.2762,0.2762,0.2762,33.0
2022-06-16,0.2762,0.2762,0.2762,0.2762,33.0
2022-06-17,0.2762,0.2762,0.2762,0.2762,0.0
2022-06-21,0.28,0.33,0.28,0.315,31975.0
2022-06-22,0.315,0.315,0.315,0.315,40.0
2022-06-23,0.315,0.315,0.315,0.315,0.0
2022-06-24,0.3748,0.3748,0.3748,0.3748,101.0
2022-06-27,0.4142,0.4142,0.4142,0.4142,100.0
2022-06-28,0.4142,0.4142,0.4142,0.4142,0.0
2022-06-29,0.4142,0.4142,0.4142,0.4142,0.0
2022-06-30,0.4142,0.4142,0.4142,0.4142,0.0
2022-07-01,0.4142,0.4142,0.4142,0.4142,0.0
2022-07-05,0.4142,0.4142,0.4142,0.4142,0.0
2022-07-06,0.4142,0.4142,0.4142,0.4142,0.0
2022-07-07,0.4142,0.4142,0.4142,0.4142,0.0
2022-07-08,0.4142,0.4142,0.4142,0.4142,0.0
2022-07-11,0.309,0.309,0.29,0.3,30400.0
2022-07-12,0.3,0.3,0.25,0.25,52633.0
2022-07-13,0.25,0.25,0.25,0.25,0.0
2022-07-14,0.25,0.25,0.25,0.25,0.0
2022-07-15,0.25,0.25,0.25,0.25,0.0
2022-07-18,0.3999,0.3999,0.3799,0.3799,800.0
2022-07-19,0.3799,0.3799,0.3799,0.3799,12.0
2022-07-20,0.3799,0.3799,0.3799,0.3799,5.0
2022-07-21,0.2832,0.3639,0.1962,0.24,11942.0
2022-07-22,0.32,0.374,0.2065,0.2337,6181.0
2022-07-25,0.3237,0.3701,0.221,0.2401,9451.0
2022-07-26,0.3211,0.3605,0.2208,0.2272,15855.0
2022-07-27,0.3301,0.3621,0.2314,0.2437,12730.0
2022-07-28,0.3,0.3624,0.3,0.3008,7907.0
2022-07-29,0.3,0.3,0.26,0.3,52744.0
2022-08-01,0.3,0.3,0.3,0.3,1900.0
2022-08-02,0.235,0.28,0.235,0.28,50800.0
2022-08-03,0.28,0.28,0.28,0.28,0.0
2022-08-04,0.2699,0.3339,0.26,0.3,2004.0
2022-08-05,0.28,0.3528,0.2225,0.316,16864.0
2022-08-08,0.2854,0.3747,0.2225,0.3295,20484.0
2022-08-09,0.2975,0.3041,0.2183,0.3041,2550.0
2022-08-10,0.3041,0.3041,0.3041,0.3041,0.0
2022-08-11,0.319,0.319,0.2871,0.2871,825.0
2022-08-12,0.2601,0.315,0.19,0.27,7604.0
2022-08-15,0.3198,0.3262,0.22,0.2709,14311.0
2022-08-16,0.2709,0.2709,0.2709,0.2709,15.0
2022-08-17,0.22,0.2558,0.22,0.2479,10638.0
2022-08-18,0.2479,0.2479,0.2479,0.2479,0.0
2022-08-19,0.2412,0.3294,0.2412,0.2999,4069.0
2022-08-22,0.2999,0.2999,0.2999,0.2999,0.0
2022-08-23,0.2799,0.318,0.221,0.2246,8873.0
