date,open,high,low,close,volume
2020-09-01,7.75,7.85,6.1,6.74,826357.0
2020-09-02,6.67,6.67,6.1,6.5,147905.0
2020-09-03,6.5,6.58,6.2501,6.5,105641.0
2020-09-04,6.55,6.75,6.26,6.73,56640.0
2020-09-08,6.75,6.99,6.5,6.51,64182.0
2020-09-09,6.79,6.79,6.4501,6.58,21560.0
2020-09-10,6.58,6.7,6.35,6.55,25550.0
2020-09-11,6.4,6.65,6.1,6.1,9747.0
2020-09-14,6.3,6.3495,5.655,6.0819,20086.0
2020-09-15,5.85,6.15,5.6501,5.7,19405.0
2020-09-16,5.7,5.78,5.25,5.6,52040.0
2020-09-17,5.3564,5.7,5.265,5.7,19553.0
2020-09-18,5.4323,5.52,5.23,5.52,22022.0
2020-09-21,5.37,5.5,5.3,5.4187,32597.0
2020-09-22,5.5,5.5,5.228,5.23,18166.0
2020-09-23,5.22,5.4999,5.22,5.28,12399.0
2020-09-24,5.3291,5.45,5.12,5.12,11353.0
2020-09-25,5.01,5.24,5.01,5.1329,15248.0
2020-09-28,5.2,5.2,4.58,4.6,32015.0
2020-09-29,4.7,4.9799,4.5,4.6,11424.0
2020-09-30,4.74,4.84,4.5,4.6,14735.0
2020-10-01,4.72,5.03,4.47,4.5,27665.0
2020-10-02,4.76,5.01,4.18,4.41,14157.0
2020-10-05,5.08,5.5799,4.75,4.94,41786.0
2020-10-06,4.76,5.08,4.76,4.9,5381.0
2020-10-07,4.99,4.99,4.99,4.99,299.0
2020-10-08,4.84,4.85,4.58,4.6,21097.0
2020-10-09,4.6,4.675,4.6,4.675,2133.0
2020-10-12,4.8,4.8,4.6,4.6,9395.0
2020-10-13,4.6616,4.7088,4.6616,4.675,1532.0
2020-10-14,4.63,4.65,4.5,4.55,14401.0
2020-10-15,4.4934,5.295,4.45,5.19,213212.0
2020-10-16,5.35,5.4,4.8501,4.88,9687.0
2020-10-19,5.07,5.135,4.8554,4.91,4089.0
2020-10-20,5.19,5.19,4.65,4.745,8893.0
2020-10-21,4.98,4.98,4.9057,4.9057,244.0
2020-10-22,5.2074,5.21,4.92,4.92,1421.0
2020-10-23,4.92,4.92,4.92,4.92,68.0
2020-10-26,4.7,4.7,4.5,4.5934,3049.0
2020-10-27,4.61,4.82,4.55,4.6,9741.0
2020-10-28,4.5,4.5,4.5,4.5,410.0
2020-10-29,4.5585,4.7,4.5585,4.59,8742.0
2020-10-30,4.51,4.5928,4.51,4.5928,351.0
2020-11-02,4.59,4.7652,4.56,4.56,11828.0
2020-11-03,4.6,5.43,4.6,5.07,1512952.0
2020-11-04,5.0,5.0,4.4,4.61,746995.0
2020-11-05,4.62,4.69,4.41,4.485,236674.0
2020-11-06,4.4453,4.4453,4.05,4.31,99849.0
2020-11-09,4.4,4.4,4.1,4.2,89620.0
2020-11-10,4.2,4.35,4.0301,4.19,96519.0
2020-11-11,4.12,4.35,4.1,4.27,87210.0
2020-11-12,4.2913,4.4,4.2585,4.2728,52893.0
2020-11-13,4.28,4.38,4.1805,4.305,37456.0
2020-11-16,4.2916,4.36,4.2,4.33,24833.0
2020-11-17,4.2101,4.3799,4.2,4.3,22595.0
2020-11-18,4.34,4.34,4.151,4.18,21745.0
2020-11-19,4.1201,4.3,4.1201,4.18,14881.0
2020-11-20,4.15,4.325,4.15,4.16,18641.0
2020-11-23,4.2844,4.72,4.2269,4.59,217150.0
2020-11-24,4.6,4.64,4.41,4.5009,67366.0
2020-11-25,4.55,4.64,4.4301,4.57,55308.0
2020-11-27,4.61,4.6629,4.51,4.63,39843.0
2020-11-30,4.64,4.88,4.5,4.83,161381.0
2020-12-01,4.8,4.81,4.46,4.58,52356.0
2020-12-02,4.5,4.5,4.31,4.4,39116.0
2020-12-03,4.4,4.4,4.17,4.21,46736.0
2020-12-04,4.2799,4.2917,4.06,4.2324,27780.0
2020-12-07,4.23,4.4,4.18,4.34,54798.0
2020-12-08,4.2885,4.39,4.23,4.27,29369.0
2020-12-09,4.23,4.61,4.23,4.4951,105077.0
2020-12-10,4.44,4.6,4.4,4.49,46187.0
2020-12-11,4.4425,4.59,4.3,4.39,33335.0
2020-12-14,4.38,4.5872,4.36,4.36,24581.0
2020-12-15,4.355,4.55,4.32,4.47,33579.0
2020-12-16,4.56,4.56,4.3029,4.4,21102.0
2020-12-17,4.6,6.7,4.5201,5.4,5112727.0
2020-12-18,6.0,6.17,4.8,4.85,1203843.0
2020-12-21,4.8,5.22,4.5101,4.92,678815.0
2020-12-22,4.89,5.1015,4.7,4.76,244903.0
2020-12-23,4.68,5.08,4.5499,4.7,214282.0
2020-12-24,4.76,4.9,4.65,4.9,138895.0
2020-12-28,4.7,4.99,4.65,4.74,70034.0
2020-12-29,4.72,4.75,4.4,4.5,76453.0
2020-12-30,4.51,4.7,4.51,4.61,44255.0
2020-12-31,4.56,4.65,4.34,4.47,41798.0
2021-01-04,4.49,4.6434,4.17,4.35,241924.0
2021-01-05,4.27,4.5,4.23,4.28,43069.0
2021-01-06,4.28,4.35,3.82,4.0589,169159.0
2021-01-07,4.15,4.25,3.8489,4.15,99821.0
2021-01-08,4.17,4.22,4.05,4.12,27113.0
2021-01-11,4.16,4.2599,3.96,4.14,34934.0
2021-01-12,4.13,4.3532,4.0601,4.24,60411.0
2021-01-13,4.24,4.29,4.15,4.26,49969.0
2021-01-14,4.26,4.48,4.195,4.4,73645.0
2021-01-15,4.42,4.46,4.15,4.25,50926.0
2021-01-19,4.26,4.4599,4.15,4.175,23957.0
2021-01-20,4.15,4.36,4.15,4.23,23911.0
2021-01-21,4.19,4.69,4.16,4.47,157237.0
2021-01-22,4.45,4.6,4.45,4.45,35197.0
2021-01-25,4.57,4.61,4.3,4.47,42166.0
2021-01-26,4.54,4.92,4.415,4.91,106719.0
2021-01-27,4.84,5.2279,4.17,4.4,206759.0
2021-01-28,4.4,4.75,4.3289,4.36,66965.0
2021-01-29,4.43,4.8,4.38,4.52,75031.0
2021-02-01,4.55,4.7899,4.35,4.48,47244.0
2021-02-02,4.49,4.64,4.39,4.42,74962.0
2021-02-03,4.42,4.59,4.22,4.46,95371.0
2021-02-04,4.55,4.84,4.4639,4.82,62025.0
2021-02-05,4.78,4.9,4.64,4.64,51781.0
2021-02-08,4.88,4.88,4.62,4.71,50837.0
2021-02-09,4.72,6.42,4.7,5.66,1263290.0
2021-02-10,5.75,6.786,5.13,5.91,1057067.0
2021-02-11,6.07,6.07,5.26,5.41,207202.0
2021-02-12,5.27,5.99,5.082,5.46,429476.0
2021-02-16,5.75,5.8,5.41,5.5,1241205.0
2021-02-17,6.0,6.7,5.75,6.38,839485.0
2021-02-18,6.01,6.2,5.6686,5.82,236837.0
2021-02-19,5.85,7.25,5.83,6.5,752579.0
2021-02-22,6.38,7.23,6.36,6.82,317384.0
2021-02-23,6.49,6.8,5.66,6.38,391586.0
2021-02-24,6.34,6.75,6.29,6.5,209531.0
2021-02-25,6.5,6.71,5.9,6.3,199888.0
2021-02-26,6.16,6.68,5.8743,6.49,182964.0
2021-03-01,6.65,7.24,6.42,6.42,442337.0
2021-03-02,6.49,7.0601,6.49,6.75,338592.0
2021-03-03,6.9,6.95,6.38,6.55,179369.0
2021-03-04,6.4201,6.48,4.65,5.04,342939.0
2021-03-05,5.23,6.01,4.8501,5.3,571813.0
2021-03-08,5.29,5.6899,5.0801,5.3099,160135.0
2021-03-09,5.44,5.7,5.2,5.37,185861.0
2021-03-10,5.45,5.8099,5.4,5.68,121821.0
2021-03-11,5.62,5.9699,5.375,5.5,151047.0
2021-03-12,5.44,5.6,5.31,5.36,81710.0
2021-03-15,5.38,5.6,5.02,5.19,112621.0
2021-03-16,5.21,5.55,5.21,5.46,95906.0
2021-03-17,5.29,5.76,5.29,5.67,81934.0
2021-03-18,5.73,5.7892,4.86,5.0,177628.0
2021-03-19,4.92,4.96,4.2,4.6,338238.0
2021-03-22,4.89,4.89,4.56,4.7,73347.0
2021-03-23,4.7,4.745,4.435,4.61,31410.0
2021-03-24,4.7,4.79,4.32,4.45,24835.0
2021-03-25,4.28,4.37,4.06,4.1,116545.0
2021-03-26,4.17,4.4964,4.05,4.1,97058.0
2021-03-29,4.04,4.27,4.02,4.21,25077.0
2021-03-30,4.16,4.42,4.1,4.34,36047.0
2021-03-31,4.4,4.69,4.22,4.42,63765.0
2021-04-01,4.42,4.75,4.42,4.7,55635.0
2021-04-05,4.7,4.75,4.5,4.66,22153.0
2021-04-06,4.75,4.75,4.37,4.5,73488.0
2021-04-07,4.5,4.5,4.32,4.35,8294.0
2021-04-08,4.3,4.39,4.23,4.37,13963.0
2021-04-09,4.2353,4.31,4.16,4.23,15551.0
2021-04-12,4.39,4.39,3.96,4.05,52366.0
2021-04-13,4.02,4.31,3.64,3.9554,113446.0
2021-04-14,3.7254,3.97,3.66,3.66,56172.0
2021-04-15,3.74,3.9163,3.339,3.44,100369.0
2021-04-16,3.44,3.44,3.0,3.1,128384.0
2021-04-19,3.11,3.53,2.85,3.53,195232.0
2021-04-20,3.41,3.45,3.15,3.16,68002.0
2021-04-21,3.1,3.49,3.1,3.1,210949.0
2021-04-22,3.1,3.25,3.05,3.09,125488.0
2021-04-23,3.11,3.46,3.03,3.29,211937.0
2021-04-26,3.36,3.4599,3.27,3.32,73301.0
2021-04-27,3.36,3.58,3.11,3.3,231630.0
2021-04-28,3.31,3.6199,3.25,3.37,301180.0
2021-04-29,3.36,3.57,3.2802,3.42,341042.0
2021-04-30,3.32,3.3869,3.1,3.16,188036.0
2021-05-03,3.24,3.29,3.097,3.11,70006.0
2021-05-04,3.16,3.24,2.9027,2.95,164793.0
2021-05-05,2.93,3.16,2.8714,2.9,155142.0
2021-05-06,2.9,3.0487,2.62,2.66,164449.0
2021-05-07,2.68,2.85,2.6468,2.73,309343.0
2021-05-10,2.72,2.73,2.43,2.51,97177.0
2021-05-11,2.33,2.66,2.18,2.41,205756.0
2021-05-12,2.5,2.6,2.27,2.33,97984.0
2021-05-13,2.33,2.64,2.23,2.46,117214.0
2021-05-14,2.45,2.6,2.33,2.6,90313.0
2021-05-17,2.58,2.681,2.48,2.5,45294.0
2021-05-18,2.55,2.5893,2.37,2.43,38814.0
2021-05-19,2.39,2.63,2.31,2.44,202767.0
2021-05-20,2.4,2.69,2.4,2.46,82575.0
2021-05-21,2.6299,2.67,2.42,2.5,506621.0
2021-05-24,2.51,2.7,2.45,2.55,253704.0
2021-05-25,2.66,3.55,2.6,2.78,3364509.0
2021-05-26,2.77,3.04,2.57,2.87,939343.0
2021-05-27,2.84,3.0504,2.75,2.9,671027.0
2021-05-28,2.85,3.1,2.76,3.0,378973.0
2021-06-01,2.97,3.0764,2.85,3.0,178906.0
2021-06-02,3.0059,3.44,2.98,3.22,366575.0
2021-06-03,3.14,3.3,2.9014,3.22,347776.0
2021-06-04,3.1582,3.4,3.02,3.02,272934.0
2021-06-07,3.06,3.19,3.0001,3.16,83009.0
2021-06-08,3.11,3.16,2.91,2.95,195181.0
2021-06-09,3.02,3.07,2.67,2.76,277751.0
2021-06-10,2.74,3.09,2.74,2.83,296080.0
2021-06-11,2.9427,2.9427,2.8,2.82,98436.0
2021-06-14,2.84,3.1,2.82,3.02,133907.0
2021-06-15,2.9801,3.0769,2.8,2.81,54086.0
2021-06-16,2.95,2.95,2.7,2.89,141051.0
2021-06-17,2.99,3.05,2.81,2.85,82818.0
2021-06-18,2.79,3.1995,2.79,2.97,162834.0
2021-06-21,2.91,3.1009,2.78,2.89,39491.0
2021-06-22,2.93,3.09,2.8658,3.03,69819.0
2021-06-23,2.97,3.14,2.93,3.02,79810.0
2021-06-24,3.065,3.15,3.05,3.11,28098.0
2021-06-25,3.02,3.101,2.9,3.01,38750.0
2021-06-28,2.96,3.02,2.78,2.95,71093.0
2021-06-29,2.82,2.96,2.81,2.92,28317.0
2021-06-30,2.87,2.92,2.81,2.82,28606.0
2021-07-01,2.8,2.88,2.79,2.86,56567.0
2021-07-02,2.88,3.0,2.88,2.96,40693.0
2021-07-06,2.95,2.95,2.8,2.83,24136.0
2021-07-07,2.8087,2.81,2.6,2.74,57075.0
2021-07-08,2.64,2.73,2.53,2.73,40957.0
2021-07-09,2.72,2.96,2.6,2.74,41277.0
2021-07-12,2.84,2.8529,2.66,2.76,27950.0
2021-07-13,2.71,3.1,2.66,2.97,145300.0
2021-07-14,2.94,3.0587,2.77,2.85,29807.0
2021-07-15,2.81,3.08,2.7569,3.0376,108767.0
2021-07-16,3.45,3.46,2.8,2.8,397618.0
