date,open,high,low,close,volume
1999-11-01,33.75,33.81,32.69,33.38,52200.0
1999-11-02,32.88,33.88,32.88,33.5,45300.0
1999-11-03,33.75,36.38,33.44,35.63,447600.0
1999-11-04,36.5,36.88,35.75,36.13,307300.0
1999-11-05,37.13,37.75,36.38,36.75,265500.0
1999-11-08,36.94,37.25,35.0,35.25,154100.0
1999-11-09,35.13,36.25,35.13,35.13,55300.0
1999-11-10,35.25,36.0,35.25,35.66,183000.0
1999-11-11,35.38,38.0,35.25,38.0,175900.0
1999-11-12,37.38,37.75,37.25,37.25,218200.0
1999-11-15,38.0,40.38,37.63,40.0,329100.0
1999-11-16,40.25,40.44,38.5,38.75,288700.0
1999-11-17,38.75,39.56,37.63,39.5,72800.0
1999-11-18,39.5,42.5,39.19,40.81,362700.0
1999-11-19,41.5,42.25,39.63,40.0,263200.0
1999-11-22,40.0,41.25,40.0,40.25,148100.0
1999-11-23,40.94,40.94,37.75,40.0,146800.0
1999-11-24,40.25,40.88,39.81,39.94,150700.0
1999-11-26,40.88,42.0,39.88,40.0,52200.0
1999-11-29,39.88,40.63,39.75,39.88,84000.0
1999-11-30,40.06,40.75,39.31,39.88,83200.0
1999-12-01,39.69,40.13,39.69,39.94,83500.0
1999-12-02,40.0,40.63,40.0,40.63,63600.0
1999-12-03,41.19,43.63,41.0,42.03,190500.0
1999-12-06,42.0,44.0,41.75,43.5,175100.0
1999-12-07,44.0,44.0,42.0,42.44,216500.0
1999-12-08,42.38,42.75,39.75,39.94,148700.0
1999-12-09,40.13,40.5,38.0,38.19,244300.0
1999-12-10,38.0,39.13,37.13,39.13,159900.0
1999-12-13,39.13,42.0,38.5,41.75,199900.0
1999-12-14,43.5,44.88,42.38,42.63,276400.0
1999-12-15,42.25,45.31,42.13,44.25,159800.0
1999-12-16,44.75,45.81,43.88,45.38,259000.0
1999-12-17,54.88,55.63,50.0,53.88,1077600.0
1999-12-20,54.0,61.5,53.0,58.25,580600.0
1999-12-21,58.75,59.13,53.25,53.31,228500.0
1999-12-22,53.5,54.5,49.38,51.5,223700.0
1999-12-23,51.75,53.75,50.25,50.94,209500.0
1999-12-27,51.0,54.25,50.0,53.91,202800.0
1999-12-28,52.75,59.5,52.75,59.34,224300.0
1999-12-29,60.0,60.0,53.13,55.22,201500.0
1999-12-30,54.75,57.0,53.75,54.25,92900.0
1999-12-31,54.88,58.61,53.5,56.75,39900.0
2000-01-03,57.0,57.5,53.25,54.38,111600.0
2000-01-04,53.63,54.0,50.13,50.56,169900.0
2000-01-05,51.0,51.0,46.0,48.41,187500.0
2000-01-06,47.5,47.5,46.0,46.69,88600.0
2000-01-07,46.13,52.25,46.13,52.0,104200.0
2000-01-10,50.0,52.75,49.25,52.06,78300.0
2000-01-11,51.38,52.75,51.0,51.75,87900.0
2000-01-12,51.75,52.0,49.0,49.0,83200.0
2000-01-13,50.5,51.0,49.0,49.66,92600.0
2000-01-14,49.25,52.31,49.25,51.44,161600.0
2000-01-18,51.38,51.5,49.63,49.91,166200.0
2000-01-19,49.81,50.75,49.38,50.0,223500.0
2000-01-20,51.13,52.44,50.13,50.22,405500.0
2000-01-21,52.13,52.75,50.63,51.63,158100.0
2000-01-24,28.0,28.25,25.13,25.47,103933.0
2000-01-25,25.5,25.5,23.0,23.94,252400.0
2000-01-26,23.84,24.38,23.38,23.5,269400.0
2000-01-27,23.88,25.25,23.38,23.53,151467.0
2000-01-28,23.88,23.94,22.5,22.63,84400.0
2000-01-31,22.63,22.88,21.38,21.63,332467.0
2000-02-01,21.44,23.38,21.0,22.5,247267.0
2000-02-02,22.63,23.13,20.5,21.25,343600.0
2000-02-03,22.19,23.0,21.56,22.63,356667.0
2000-02-04,23.25,23.37,22.5,23.31,263800.0
2000-02-07,23.5,23.88,23.38,23.61,354267.0
2000-02-08,24.0,24.0,21.0,21.0,274800.0
2000-02-09,22.13,22.13,19.13,19.81,463667.0
2000-02-10,19.88,21.25,19.88,20.31,546267.0
2000-02-11,20.19,20.38,20.06,20.22,302467.0
2000-02-14,20.38,20.38,19.5,20.03,167400.0
2000-02-15,20.06,20.25,19.0,19.38,221200.0
2000-02-16,19.5,20.13,18.88,18.88,274667.0
2000-02-17,18.81,19.94,18.81,19.88,491267.0
2000-02-18,19.31,19.81,19.13,19.25,245600.0
2000-02-22,19.13,20.63,19.0,20.56,285800.0
2000-02-23,20.63,22.63,20.5,22.5,601267.0
2000-02-24,23.0,23.75,22.25,22.56,485267.0
2000-02-25,22.5,23.0,21.63,21.91,154467.0
2000-02-28,22.25,23.25,21.75,23.03,294667.0
2000-02-29,23.5,25.0,23.5,24.94,591467.0
2000-03-01,24.63,26.38,24.5,26.03,481667.0
2000-03-02,26.25,27.0,26.0,26.72,689067.0
2000-03-03,27.0,27.0,26.25,26.38,309667.0
2000-03-06,26.25,26.5,25.25,25.5,390000.0
2000-03-07,25.56,25.88,23.88,24.13,406667.0
2000-03-08,24.0,24.0,22.0,23.5,248867.0
2000-03-09,23.5,24.25,22.0,23.63,353267.0
2000-03-10,23.25,24.0,19.5,20.63,589267.0
2000-03-13,21.38,23.0,20.75,22.0,234400.0
2000-03-14,22.13,22.94,21.88,22.22,485467.0
2000-03-15,22.47,22.5,19.5,20.69,680000.0
2000-03-16,20.63,20.94,19.25,20.0,317400.0
2000-03-17,19.75,20.63,19.69,20.28,204067.0
2000-03-20,19.94,23.45,19.94,23.19,342467.0
2000-03-21,23.0,23.13,22.13,23.0,602800.0
2000-03-22,22.75,25.13,22.75,24.94,509267.0
2000-03-23,24.25,25.25,24.0,24.44,373800.0
2000-03-24,24.12,24.75,23.0,23.62,170467.0
2000-03-27,23.75,24.63,23.13,24.0,409600.0
2000-03-28,24.0,24.13,22.13,22.38,154467.0
2000-03-29,22.44,22.5,21.0,21.81,86400.0
2000-03-30,21.5,23.0,21.06,21.63,94800.0
2000-03-31,21.69,24.0,21.63,23.44,201400.0
2000-04-03,22.63,23.19,22.25,23.0,82600.0
2000-04-04,22.25,22.94,19.88,21.5,274400.0
2000-04-05,20.75,22.88,20.63,21.38,433267.0
2000-04-06,21.09,21.5,20.0,20.88,656800.0
2000-04-07,21.19,21.25,20.75,21.0,161667.0
2000-04-10,20.94,21.13,20.44,21.0,162667.0
2000-04-11,21.06,21.06,20.0,20.03,123200.0
2000-04-12,20.0,20.38,19.88,20.13,266800.0
2000-04-13,20.0,21.31,19.5,20.5,323867.0
2000-04-14,20.0,21.0,19.0,21.0,188067.0
2000-04-17,19.13,21.0,18.63,20.06,262400.0
2000-04-18,20.13,21.44,18.75,20.5,267000.0
2000-04-19,20.88,21.0,19.56,20.75,81267.0
2000-04-20,20.75,20.88,19.13,20.13,112867.0
2000-04-24,19.25,20.0,18.5,19.38,120800.0
2000-04-25,19.81,20.25,19.06,19.81,209400.0
2000-04-26,20.19,20.75,19.13,19.44,191000.0
2000-04-27,19.25,20.13,19.0,19.13,282467.0
2000-04-28,19.88,20.06,19.13,20.0,360067.0
2000-05-01,20.13,20.63,19.63,19.94,134000.0
2000-05-02,20.0,20.06,19.25,19.25,219267.0
2000-05-03,19.13,19.13,18.63,18.94,309800.0
