BuyDate,SellDate,Ticker,Horizon,DaysHeld,Pred_Prob,Pred_Prob_Std,Adj_Prob,Actual_LogR,Actual_Return%
2021-08-18,2021-08-25,BSET_daily_processed,1w,5,0.23131602,0.058847595,0.23131602,0.07555242272106184,7.847976307996052
2021-09-09,2021-09-16,AMSF_daily_processed,1w,5,0.20821291,0.061351463,0.20821291,-0.05320883537313192,-5.181802213244335
2021-09-17,2021-09-24,AIR_daily_processed,1w,5,0.20976102,0.04613431,0.20976102,0.030553217481173987,3.102475712942643
2021-09-30,2021-10-29,BTI_daily_processed,1m,21,0.23774572,0.05341936,0.23774572,-0.01025650016718911,-1.0204081632653073
2021-12-01,2021-12-31,AAL_daily_processed,1m,21,0.20293981,0.059765067,0.20293981,0.09820970229965938,10.319410319410327
2022-02-11,2022-08-15,AON_daily_processed,6m,126,0.23131117,0.09162272,0.23131117,0.059116679912543664,6.08990191235621
2022-09-26,2022-10-03,AORT_daily_processed,1w,5,0.20921178,0.080608256,0.20921178,0.013034217838906906,1.3119533527696792
2022-11-01,2022-11-08,ARBK_daily_processed,1w,5,0.20681313,0.052694015,0.20681313,0.0,0.0
2022-11-10,2022-11-17,ARLO_daily_processed,1w,5,0.21709014,0.06560624,0.21709014,0.07775936469913391,8.086253369272223
2022-12-01,2023-01-03,AOMR_daily_processed,1m,21,0.22052358,0.081181206,0.22052358,-0.25961839960182537,-22.865412445730826
2023-05-02,2023-05-09,BMRC_daily_processed,1w,5,0.2079405,0.0527492,0.2079405,-0.04104175059190098,-4.021094264996705
