[v5] device=cuda | visible GPUs=1 | current=cuda:0 (NVIDIA GeForce RTX 5090)
[v5] building frames for 7597 tickers ...
[v5] usable frames: 7094
[v5] eval_mode=time eval_tickers=0 val_tickers=0
[v5] scaler fit on 23948324 train rows
[v5] era-proxy audit (|rho|>0.2): none
[v5] class rates [train] (down/neutral/up): 1d:[0.21, 0.58, 0.21]  1w:[0.21, 0.57, 0.22]  1m:[0.21, 0.54, 0.24]  6m:[0.22, 0.51, 0.26]
[v5] class rates [val] (down/neutral/up): 1d:[0.21, 0.59, 0.21]  1w:[0.22, 0.56, 0.22]  1m:[0.23, 0.53, 0.23]  6m:[0.23, 0.52, 0.25]
[v5] class rates [oos] (down/neutral/up): 1d:[0.21, 0.58, 0.21]  1w:[0.21, 0.56, 0.23]  1m:[0.22, 0.53, 0.25]  6m:[0.23, 0.46, 0.31]
[v5] train windows: 23105132 | val windows (subsampled): 1000000 | eval tickers: 4992
[v5] schedule | 90255 steps/epoch | budget 1805100 steps (~20.0 ep) | t_max 1805100 | eval every 10000 steps | patience 10 (~100000 steps no-improve) | workers 8 | members [1, 2)
[v5] val constant-marginal baseline CE = 3.5478 (model must beat this to be learning anything conditional)
[member 1] start | 23105132 train / 1000000 val windows | 90255 steps/epoch | eval every 10000 steps | max 1805100 steps | patience 10
[member 1] step 100/1805100 (ep 0.00) | loss 4.1625 | lr 3.00e-05 | 7.5 it/s | eta 4013m
[member 1] step 200/1805100 (ep 0.00) | loss 3.6688 | lr 6.00e-05 | 9.4 it/s | eta 3202m
[member 1] step 300/1805100 (ep 0.00) | loss 3.5393 | lr 9.00e-05 | 10.3 it/s | eta 2934m
[member 1] step 400/1805100 (ep 0.00) | loss 3.5155 | lr 1.20e-04 | 10.7 it/s | eta 2807m
[member 1] step 500/1805100 (ep 0.01) | loss 3.5002 | lr 1.50e-04 | 11.0 it/s | eta 2728m
[member 1] step 600/1805100 (ep 0.01) | loss 3.5001 | lr 1.80e-04 | 11.2 it/s | eta 2678m
[member 1] step 700/1805100 (ep 0.01) | loss 3.4982 | lr 2.10e-04 | 11.4 it/s | eta 2638m
[member 1] step 800/1805100 (ep 0.01) | loss 3.4887 | lr 2.40e-04 | 11.5 it/s | eta 2606m
[member 1] step 900/1805100 (ep 0.01) | loss 3.4930 | lr 2.70e-04 | 11.6 it/s | eta 2585m
[member 1] step 1000/1805100 (ep 0.01) | loss 3.4846 | lr 3.00e-04 | 11.7 it/s | eta 2568m
[member 1] step 1100/1805100 (ep 0.01) | loss 3.4867 | lr 3.00e-04 | 11.8 it/s | eta 2555m
[member 1] step 1200/1805100 (ep 0.01) | loss 3.4790 | lr 3.00e-04 | 11.8 it/s | eta 2544m
[member 1] step 1300/1805100 (ep 0.01) | loss 3.4754 | lr 3.00e-04 | 11.9 it/s | eta 2536m
[member 1] step 1400/1805100 (ep 0.02) | loss 3.4728 | lr 3.00e-04 | 11.9 it/s | eta 2528m
[member 1] step 1500/1805100 (ep 0.02) | loss 3.4666 | lr 3.00e-04 | 11.9 it/s | eta 2522m
[member 1] step 1600/1805100 (ep 0.02) | loss 3.4612 | lr 3.00e-04 | 11.9 it/s | eta 2516m
[member 1] step 1700/1805100 (ep 0.02) | loss 3.4579 | lr 3.00e-04 | 12.0 it/s | eta 2511m
[member 1] step 1800/1805100 (ep 0.02) | loss 3.4492 | lr 3.00e-04 | 12.0 it/s | eta 2507m
[member 1] step 1900/1805100 (ep 0.02) | loss 3.4427 | lr 3.00e-04 | 12.0 it/s | eta 2503m
[member 1] step 2000/1805100 (ep 0.02) | loss 3.4442 | lr 3.00e-04 | 12.0 it/s | eta 2498m
[member 1] step 2100/1805100 (ep 0.02) | loss 3.4405 | lr 3.00e-04 | 12.1 it/s | eta 2492m
[member 1] step 2200/1805100 (ep 0.02) | loss 3.4312 | lr 3.00e-04 | 12.1 it/s | eta 2489m
[member 1] step 2300/1805100 (ep 0.03) | loss 3.4320 | lr 3.00e-04 | 12.1 it/s | eta 2486m
[member 1] step 2400/1805100 (ep 0.03) | loss 3.4303 | lr 3.00e-04 | 12.1 it/s | eta 2483m
[member 1] step 2500/1805100 (ep 0.03) | loss 3.4291 | lr 3.00e-04 | 12.1 it/s | eta 2481m
[member 1] step 2600/1805100 (ep 0.03) | loss 3.4251 | lr 3.00e-04 | 12.1 it/s | eta 2478m
[member 1] step 2700/1805100 (ep 0.03) | loss 3.4173 | lr 3.00e-04 | 12.1 it/s | eta 2477m
[member 1] step 2800/1805100 (ep 0.03) | loss 3.4231 | lr 3.00e-04 | 12.1 it/s | eta 2475m
[member 1] step 2900/1805100 (ep 0.03) | loss 3.4134 | lr 3.00e-04 | 12.1 it/s | eta 2473m
[member 1] step 3000/1805100 (ep 0.03) | loss 3.4120 | lr 3.00e-04 | 12.2 it/s | eta 2471m
[member 1] step 3100/1805100 (ep 0.03) | loss 3.4105 | lr 3.00e-04 | 12.2 it/s | eta 2470m
[member 1] step 3200/1805100 (ep 0.04) | loss 3.4127 | lr 3.00e-04 | 12.2 it/s | eta 2468m
[member 1] step 3300/1805100 (ep 0.04) | loss 3.4083 | lr 3.00e-04 | 12.2 it/s | eta 2466m
[member 1] step 3400/1805100 (ep 0.04) | loss 3.4056 | lr 3.00e-04 | 12.2 it/s | eta 2461m
